Codigo  Sprite                      Uso en el mapa
------  --------------------------  -------------------------------------------
0       SPRITES/GRASS_1.TXT         Pradera base y zonas de transición.
3       SPRITES/PATH_2.TXT          Caminos y pisos interiores de estructuras.
4       SPRITES/WATER_2.TXT         Lago del bioma normal.
5       SPRITES/TREE_1.TXT          Árboles/pinos en pradera y tundra.
6       SPRITES/SAND_1.TXT          Orillas de lago y transición pradera-nieve.
8       SPRITES/SNOW_1.TXT          Suelo del bioma nevado.
9       SPRITES/ICE_1.TXT           Lagunas congeladas dentro de la tundra.
A (10)  SPRITES/WALL_1.TXT          Muros de casas, iglúes y bastión nether.
B (11)  SPRITES/HOUSE_ROOF.TXT      Techo de tejas para las cabañas del bosque.
C (12)  SPRITES/FORTRESS_BRICK.TXT  Muros del bastión infernal en la zona nether.
D (13)  SPRITES/DIRT_1.TXT          Suelo del bioma nether.
E (14)  SPRITES/LAVA_1.TXT          Rios y fosos de lava en el nether.
F (15)  SPRITES/BRIDGE_1.TXT        Puentes seguros sobre la lava.
