50 50
A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A
A 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 D 6 D 6 D 6 D 6 3 6 D 6 D 6 D 6 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 A
A 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 6 D 6 D 6 D 6 D 3 D 6 D 6 D 6 D 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 A
A 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 D 6 D 6 D 6 D 6 3 6 D 6 D 6 D 6 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 A
A 0 1 0 0 1 0 0 5 0 0 1 0 0 1 0 0 6 D 6 D 6 D 6 D 3 D 6 D 6 D 6 D 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 A
A 1 0 0 1 0 0 1 0 0 A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A 8 9 8 9 8 9 8 9 8 A
A 0 0 2 0 0 1 0 0 1 0 0 1 0 0 1 0 6 D 6 D 6 D 6 D 3 D 6 D 6 D 6 D 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 A
A 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 D 6 D 6 D 6 D 6 3 6 D 6 D 6 D 6 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 A
A 1 0 2 1 4 4 4 5 4 1 0 0 C 0 0 1 6 D 6 D 6 D 6 D 3 D 6 D 6 D 6 D 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 A
A 0 0 1 0 4 4 4 4 4 0 0 1 0 0 1 0 D 6 D 6 D 6 D 6 3 6 D 6 D 6 D 6 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 A
A 0 1 2 0 F F F F F F F 0 0 1 0 0 C D 6 D 6 D 6 D 3 D 6 D 6 D 6 C 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 A
A 1 0 0 1 4 4 4 4 4 1 0 0 C 0 0 1 D 6 D 6 D 6 D 6 3 6 D 6 D 6 D 6 9 8 9 8 9 8 9 8 4 8 9 8 9 8 9 8 A
A 0 0 2 0 4 4 4 5 4 0 0 1 0 0 1 0 6 D 6 B 6 D B D 3 B 6 D B D 6 D 8 9 8 9 8 9 4 4 4 4 4 9 8 9 8 9 A
A 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 D 6 D 6 D 6 D 6 3 6 D 6 D 6 D 6 9 8 9 8 9 8 4 4 4 4 4 8 9 8 9 8 A
A 1 0 2 1 0 0 1 0 0 1 0 0 C 0 0 1 6 7 6 D 6 D 6 D 3 D 6 D 6 D 7 D 8 9 8 9 F F F F F F F F 8 9 8 9 A
A 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 D 7 D 6 D 6 D 6 3 6 D 6 D 6 7 6 9 8 9 8 9 8 4 4 4 4 4 8 9 8 9 8 A
A 0 1 0 0 1 0 0 5 0 0 1 0 0 1 0 0 C 7 6 D 6 D 6 D 3 D 6 D 6 D 7 C 8 9 8 9 8 9 4 4 4 4 4 9 8 9 8 9 A
A 1 0 0 1 0 0 1 0 0 1 0 0 C 0 0 1 D 7 D 6 D 6 D 6 3 6 D 6 D 6 7 6 9 8 9 8 9 8 9 8 4 8 9 8 9 8 9 8 A
A 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 6 7 6 D 6 D 6 D 3 D D D 6 D 7 D 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 A
A 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 D 7 D 6 D 6 D 6 3 6 D 6 D 6 7 6 9 8 9 8 9 8 9 8 9 8 9 8 9 8 9 8 A
A 1 0 0 1 A 0 1 0 0 1 0 0 1 0 0 1 6 7 6 D 6 D E E 3 E E D 6 D 7 D 8 9 8 9 8 9 8 9 8 9 8 A 8 9 8 9 A
A 0 0 1 0 A 1 0 0 1 0 0 1 0 0 1 0 D 7 D 6 D E 6 E 3 E D E D 6 7 6 9 8 9 8 9 8 9 8 9 8 9 A 9 8 9 8 A
A 0 1 0 0 A 0 0 1 0 0 1 0 0 1 0 0 C 7 6 D E E E E 3 E E E E D 7 C 8 9 8 9 8 5 8 9 8 C 8 A 8 9 8 9 A
A 1 0 0 1 A 0 1 0 0 1 0 0 1 0 0 1 D 7 D 6 E E E E 3 E E E E 6 7 6 9 8 9 8 9 8 9 8 9 8 9 A 9 8 9 8 A
A 3 3 3 3 A 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 A 3 3 3 3 A
A 0 1 0 0 A 0 0 1 0 0 1 0 0 1 0 0 D 7 D 6 E E E E 3 E E E E 6 7 6 B 8 9 8 9 8 9 8 9 8 9 A 9 8 9 8 A
A 1 0 0 1 A 0 1 0 0 1 0 0 1 0 0 1 6 7 6 D E E E E 3 E E E E D 7 D B 8 8 9 8 5 8 9 8 9 8 A 8 9 8 9 A
A 0 0 1 0 A 1 0 0 1 0 0 1 0 0 1 0 D 7 D 6 D E 6 E 3 E D E D 6 7 6 B 8 9 8 9 8 9 8 9 C 9 A 9 8 9 8 A
A 0 1 0 0 A 0 0 1 0 0 1 0 0 1 0 0 C 7 6 D 6 D E E 3 E E D 6 D 7 C B 9 8 9 9 9 8 9 8 9 8 A 8 9 9 9 A
A 1 0 0 1 A 0 1 0 0 1 0 0 1 0 0 1 D 7 D 6 D 6 D 6 3 6 D 6 D 6 7 6 B 8 9 9 9 8 9 8 9 8 9 A 9 9 8 8 A
A 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 6 7 6 D 6 D 6 D 3 D D D 6 D 7 D B 9 8 9 8 5 8 9 8 9 8 9 7 9 8 9 A
A 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 D 7 D 6 D 6 D 6 3 6 D 6 D 6 7 6 B 8 9 8 9 8 9 8 9 8 9 9 9 8 9 8 A
A 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 6 7 6 D 6 D 6 D 3 D 6 D 6 D 7 D B 8 8 9 8 9 8 9 8 C 9 9 8 9 8 9 A
A 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 D 7 D 6 D 6 D 6 3 6 D 6 D 6 7 6 B 8 9 8 9 8 9 8 9 9 9 8 9 8 9 8 A
A 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 C D 6 D 6 D 6 D 3 D 6 D 6 D 6 C B 9 8 9 8 5 8 9 9 9 8 9 7 9 8 9 A
A 1 0 0 1 0 5 5 C 5 5 0 0 1 0 0 1 6 D 6 D 6 D 6 D 3 D 6 D 6 D 6 D B 8 8 9 9 5 8 9 8 9 8 9 7 9 8 9 A
A 0 0 1 0 5 5 5 C 5 5 5 1 0 0 1 0 D 6 D 6 D 6 D 6 3 6 D 6 D 6 D 6 B 8 9 9 9 8 9 8 9 8 9 8 9 9 9 8 A
A 0 1 0 0 5 5 5 C 5 5 5 0 0 1 0 0 6 D 6 D 6 D 6 D 3 D 6 D 6 D 6 D 8 9 8 9 8 9 8 9 8 9 8 9 9 9 8 9 A
